2026-03-28 17:14:37,929 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:14:37,929 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:14:38,378 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:14:38,378 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 17:23:16,347 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:23:16,619 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:23:16,619 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:23:17,053 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:38:26,332 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:38:26,558 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:38:26,559 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:38:26,973 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:39:20,027 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:39:20,737 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:39:20,737 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:39:21,140 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:39:28,237 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 17:39:28,237 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 17:39:28,246 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:39:28,670 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:39:28,670 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:39:29,071 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:39:29,087 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 17:39:29,091 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 17:39:29,091 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 17:39:29,091 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 17:39:29,721 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 17:39:30,290 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 17:39:30,826 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 17:39:31,455 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 17:39:32,111 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 17:39:32,111 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:39:32,516 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:39:32,516 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:39:32,987 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:39:32,988 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 17:42:55,085 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:42:55,810 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:42:55,810 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:42:56,276 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:43:02,811 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 17:43:02,811 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 17:43:02,811 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:43:03,262 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:43:03,262 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:43:03,686 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
